Title,Date,Time,Venue,Category,Link,Payment for Entry,Source,_EndDate
Kino Bajka: Kicia Kocia ma braciszka,2025-11-07,09:30,Kino Bajka,Film,https://zoom.lublin.pl/wydarzenie/kino-bajka-kicia-kocia-ma-braciszka/,,zoom.lublin.pl,2025-11-07
Słowik i Babka Natura,2025-11-07,"09:30, 11:30",Teatr im. H.Ch. Andersena,Teatr,https://zoom.lublin.pl/wydarzenie/slowik-i-babka-natura/,,zoom.lublin.pl,2025-11-07
Targi Studenckich Możliwości. Kształtuj Kulturę Swoją Markę,2025-11-07,10:00,Akademickie Centrum Kultury i Mediów „Chatka Żaka”,Spotkanie,https://zoom.lublin.pl/wydarzenie/targi-studenckich-mozliwosci-ksztaltuj-kulture-swoja-marke/,,zoom.lublin.pl,2025-11-07
Poskromienie złośnicy,2025-11-07,"11:00, 15:30, 18:00",Teatr im. Juliusza Osterwy,Teatr,https://zoom.lublin.pl/wydarzenie/poskromienie-zlosnicy/,,zoom.lublin.pl,2025-11-07
Kino Bajka: Droga do Vermiglio,2025-11-07,11:45,Kino Bajka,Film,https://zoom.lublin.pl/wydarzenie/kino-bajka-droga-do-vermiglio/,,zoom.lublin.pl,2025-11-07
Zwiedzanie: Atelier Fotograficzne sprzed 100 lat,2025-11-07,12:00,,,"https://lublin.eu/kultura/wydarzenia/zwiedzanie-atelier-fotograficzne-sprzed-100-lat,86406,0,w.html",,lublin.eu,2025-11-07
Kino Bajka: Bugonia,2025-11-07,"13:15, 17:45",Kino Bajka,Film,https://zoom.lublin.pl/wydarzenie/kino-bajka-bugonia/,,zoom.lublin.pl,2025-11-07
Kino Bajka: Wielkie ostrzeżenie,2025-11-07,14:00,Kino Bajka,Film,https://zoom.lublin.pl/wydarzenie/kino-bajka-wielkie-ostrzezenie/,,zoom.lublin.pl,2025-11-07
Kino Bajka: Dom dobry,2025-11-07,"15:30, 18:00",Kino Bajka,Film,https://zoom.lublin.pl/wydarzenie/kino-bajka-dom-dobry/,,zoom.lublin.pl,2025-11-07
Kino Bajka: Uwierz w Mikołaja 2,2025-11-07,"16:00, 20:15",Kino Bajka,Film,https://zoom.lublin.pl/wydarzenie/kino-bajka-uwierz-w-mikolaja-2/,,zoom.lublin.pl,2025-11-07
Natalia Makei,2025-11-07,16:00,Miejska Biblioteka Publiczna Filia nr 9,Muzyka,https://zoom.lublin.pl/wydarzenie/natalia-makei/,,zoom.lublin.pl,2025-11-07
Ostrzenie i konserwacja narzędzi stolarskich oraz kuchennych,2025-11-07,16:00,Baobab,Warsztaty,https://zoom.lublin.pl/wydarzenie/ostrzenie-i-konserwacja-narzedzi-stolarskich-oraz-kuchennych/,,zoom.lublin.pl,2025-11-07
Wernisaż: Monika Pilewska — Strony mojego życia,2025-11-07,"16:00, 17:30, 19:00, 20:15",Miejska Biblioteka Publiczna Filia nr 6 - Bioteka,Wystawa,https://zoom.lublin.pl/wydarzenie/wernisaz-monika-pilewska-strony-mojego-zycia/,,zoom.lublin.pl,2025-11-07
Wykład Agnieszki Bartków i prof. Lechosława Lameńskiego,2025-11-07,16:30,,,"https://lublin.eu/kultura/wydarzenia/wyklad-agnieszki-bartkow-i-prof-lechoslawa-lamenskiego,86268,0,w.html",,lublin.eu,2025-11-07
Obrzędowość pogrzebowa na Lubelszczyźnie,2025-11-07,17:00,Muzeum Narodowe w Lublinie,Spotkanie,https://zoom.lublin.pl/wydarzenie/obrzedowosc-pogrzebowa-na-lubelszczyznie/,,zoom.lublin.pl,2025-11-07
Damski biznes,2025-11-07,17:30,Centrum Kongresowe Uniwersytetu Przyrodniczego,Teatr,https://zoom.lublin.pl/wydarzenie/damski-biznes/,,zoom.lublin.pl,2025-11-07
Kino CK: Miłość,2025-11-07,18:00,Centrum Kultury w Lublinie,Film,https://zoom.lublin.pl/wydarzenie/kino-ck-milosc/,,zoom.lublin.pl,2025-11-07
Miejsce do poczytania: Panel dyskusyjny,2025-11-07,18:00,Dzielnicowy Dom Kultury „Czuby Południowe”,Spotkanie,https://zoom.lublin.pl/wydarzenie/miejsce-do-poczytania-panel-dyskusyjny-3/,,zoom.lublin.pl,2025-11-07
Ring of Fire — pieśń trwa,2025-11-07,18:00,Miejska Biblioteka Publiczna Filia nr 2,Na żywo,https://zoom.lublin.pl/wydarzenie/ring-of-fire-piesn-trwa/,,zoom.lublin.pl,2025-11-07
Wernisaż: Agnieszka Hinc — O traktowaniu F,2025-11-07,18:00,Galeria Pomost,Wystawa,https://zoom.lublin.pl/wydarzenie/wernisaz-agnieszka-hinc-o-traktowaniu-f/,,zoom.lublin.pl,2025-11-07
Wernisaż: Marcin Redkowiak — Odsypianie,2025-11-07,18:00,Galeria Krańcowa,Wystawa,https://zoom.lublin.pl/wydarzenie/wernisaz-marcin-redkowiak-odsypianie/,,zoom.lublin.pl,2025-11-07
Wernisaż: Stanisław Szukalski — Zamarły lot,2025-11-07,18:00,Galeria „Gardzienice”,Wystawa,https://zoom.lublin.pl/wydarzenie/wernisaz-stanislaw-szukalski-zamarly-lot/,,zoom.lublin.pl,2025-11-07
8 lat w Tybecie,2025-11-07,19:00,Klub Graffiti,Muzyka,https://zoom.lublin.pl/wydarzenie/8-lat-w-tybecie/,,zoom.lublin.pl,2025-11-07
Klieser / Kozlovsky — koncert symfoniczny,2025-11-07,19:00,Filharmonia Lubelska,Muzyka,https://zoom.lublin.pl/wydarzenie/klieser-kozlovsky-koncert-symfoniczny/,,zoom.lublin.pl,2025-11-07
Punk’n’Roll Tour 2025,2025-11-07,19:00,Fabryka Kultury Zgrzyt,Muzyka,https://zoom.lublin.pl/wydarzenie/punknroll-tour-2025/,,zoom.lublin.pl,2025-11-07
Wernisaż: Oko w oko z plakatami Wojciecha Korkucia,2025-11-07,19:00,Centrum Spotkania Kultur,Spotkanie,https://zoom.lublin.pl/wydarzenie/wernisaz-oko-w-oko-z-plakatami-wojciecha-korkucia/,,zoom.lublin.pl,2025-11-07
Warsztaty: Poznaj tango,2025-11-07,19:30,,,"https://lublin.eu/kultura/wydarzenia/warsztaty-poznaj-tango,85528,0,w.html",,lublin.eu,2025-11-07
Kino Bajka: Być kochaną,2025-11-07,20:00,Kino Bajka,Film,https://zoom.lublin.pl/wydarzenie/kino-bajka-byc-kochana/,,zoom.lublin.pl,2025-11-07
Słowa na piasku,2025-11-07,20:00,Teatr Stary,Teatr,https://zoom.lublin.pl/wydarzenie/david-desola-slowa-na-piasku/,,zoom.lublin.pl,2025-11-07
"Kino CK: Szkoda, że nareszcie",2025-11-07,20:15,Centrum Kultury w Lublinie,Film,https://zoom.lublin.pl/wydarzenie/kino-ck-szkoda-ze-nareszcie/,,zoom.lublin.pl,2025-11-07
Spektakl: Exist & Exit,2025-11-07,20:30,,,"https://lublin.eu/kultura/wydarzenia/spektakl-exist-exit,86127,0,w.html",,lublin.eu,2025-11-07
Kino Bajka: Anioł stróż,2025-11-08,09:00,,,"https://lublin.eu/kultura/wydarzenia/kino-bajka-aniol-stroz,86422,0,w.html",,lublin.eu,2025-11-08
Teatr Stary w Lublinie — 200 lat historii,2025-11-08,"10:00, 11:30, 13:00",Teatr Stary,Spotkanie,https://zoom.lublin.pl/wydarzenie/teatr-stary-w-lublinie-200-lat-historii/,,zoom.lublin.pl,2025-11-08
Kino Bajka: Kicia Kocia ma braciszka,2025-11-08,10:30,Kino Bajka,Film,https://zoom.lublin.pl/wydarzenie/kino-bajka-kicia-kocia-ma-braciszka/,,zoom.lublin.pl,2025-11-08
Kino Bajka: Triumf serca,2025-11-08,11:00,Kino Bajka,Film,https://zoom.lublin.pl/wydarzenie/kino-bajka-triumf-serca/,,zoom.lublin.pl,2025-11-08
Teatr z papieru,2025-11-08,11:00,Dzielnicowy Dom Kultury „Węglin”,Warsztaty,https://zoom.lublin.pl/wydarzenie/teatr-z-papieru/,,zoom.lublin.pl,2025-11-08
Kino Bajka: Il Volo. Koncert z Doliny Świątyń,2025-11-08,11:30,Kino Bajka,Film,https://zoom.lublin.pl/wydarzenie/kino-bajka-il-volo-koncert-z-doliny-swiatyn/,,zoom.lublin.pl,2025-11-08
Legendy i ciekawostki Koziego Grodu,2025-11-08,13:00,Centrum Inspiracji Turystycznej,Inne,https://zoom.lublin.pl/wydarzenie/legendy-i-ciekawostki-koziego-grodu/,,zoom.lublin.pl,2025-11-08
Kino Bajka: Bugonia,2025-11-08,"13:15, 19:45",Kino Bajka,Film,https://zoom.lublin.pl/wydarzenie/kino-bajka-bugonia/,,zoom.lublin.pl,2025-11-08
Kino Bajka: Wielkie ostrzeżenie,2025-11-08,14:00,Kino Bajka,Film,https://zoom.lublin.pl/wydarzenie/kino-bajka-wielkie-ostrzezenie/,,zoom.lublin.pl,2025-11-08
Lublin — the Renaissance town on the hills,2025-11-08,14:00,Centrum Inspiracji Turystycznej,Inne,https://zoom.lublin.pl/wydarzenie/lublinthe-renaissance-town/,,zoom.lublin.pl,2025-11-08
Warsztaty teatralne w PJM,2025-11-08,14:00,Fundacja Ośmiornice Kreatywności,Warsztaty,https://zoom.lublin.pl/wydarzenie/warsztaty-teatralne-w-pjm/,,zoom.lublin.pl,2025-11-08
